model,threshold,roc_auc,pr_auc,accuracy,sensitivity_recall,specificity,precision,f1,balanced_accuracy,mcc,brier_score,tp,tn,fp,fn,positive_count,negative_count
Paper ANN,0.5,0.936,0.886,0.55,1.0,0.308,0.438,0.609,0.654,0.367,0.271,49,28,63,0,49,91
XGBoost,0.5,0.959,0.949,0.543,1.0,0.297,0.434,0.605,0.648,0.359,0.305,49,27,64,0,49,91
LightGBM,0.5,0.926,0.884,0.557,1.0,0.319,0.441,0.612,0.659,0.375,0.31,49,29,62,0,49,91
CatBoost,0.5,0.954,0.937,0.521,1.0,0.264,0.422,0.594,0.632,0.334,0.288,49,24,67,0,49,91
Ensemble,0.5,0.951,0.937,0.529,1.0,0.275,0.426,0.598,0.637,0.342,0.3,49,25,66,0,49,91
