iter	Passed	Remaining
0	0	346
1	1	300
2	1	281
3	2	272
4	2	273
5	3	268
6	3	263
7	4	263
8	5	277
9	5	284
10	6	290
11	7	294
12	7	298
13	8	293
14	8	289
15	9	286
16	9	283
17	10	279
18	10	278
19	11	275
20	11	273
21	12	270
22	12	268
23	13	265
24	13	263
25	14	261
26	14	259
27	15	256
28	15	254
29	16	253
30	16	252
31	17	251
32	17	250
33	18	248
34	18	248
35	19	248
36	19	249
37	20	249
38	21	252
39	21	252
40	22	254
41	23	254
42	23	253
43	24	253
44	25	254
45	25	253
46	26	252
47	26	251
48	27	251
49	27	251
50	28	255
51	29	255
52	30	254
53	30	254
54	31	253
55	31	252
56	32	251
57	32	250
58	33	249
59	33	247
60	34	246
61	34	246
62	35	245
63	36	246
64	36	247
65	37	246
66	38	246
67	38	245
68	39	244
69	39	244
70	40	243
71	40	242
72	41	242
73	41	241
74	42	240
75	42	239
76	43	238
77	43	237
78	44	236
79	45	236
80	45	235
81	45	234
82	46	233
83	46	232
84	47	231
85	47	230
86	48	229
87	48	229
88	49	228
89	50	228
90	50	227
91	51	227
92	52	227
93	52	227
94	53	227
95	53	226
96	54	226
97	54	225
98	55	224
99	55	223
100	56	222
101	56	221
102	57	220
103	57	219
104	58	219
105	58	218
106	59	217
107	59	216
108	60	215
109	60	214
110	61	213
111	61	213
112	61	212
113	62	211
114	62	210
115	63	209
116	63	208
117	64	208
118	64	207
119	65	206
120	65	206
121	66	206
122	67	206
123	68	206
124	68	206
125	69	205
126	69	205
127	70	204
128	70	203
129	71	203
130	71	202
131	72	202
132	72	201
133	73	200
134	73	199
135	74	198
136	74	198
137	75	197
138	75	196
139	76	196
140	76	195
141	77	194
142	77	193
143	78	193
144	78	192
145	79	191
146	79	190
147	79	190
148	80	189
149	81	189
150	82	189
151	82	189
152	83	189
153	84	188
154	84	188
155	85	188
156	86	187
157	86	187
158	87	186
159	87	185
160	87	185
161	88	184
162	89	184
163	89	183
164	89	182
165	90	181
166	90	181
167	91	180
168	91	179
169	92	179
170	92	178
171	93	177
172	93	177
173	94	176
174	94	175
175	95	175
176	95	174
177	96	174
178	97	174
179	97	173
180	98	173
181	99	173
182	99	172
183	100	172
184	100	171
185	101	171
186	101	170
187	102	169
188	102	169
189	103	168
190	103	167
191	104	167
192	104	166
193	105	165
194	105	165
195	106	164
196	106	164
197	107	163
198	107	163
199	108	162
200	108	161
201	109	161
202	109	160
203	110	159
204	110	159
205	111	158
206	112	158
207	112	158
208	113	157
209	114	157
210	114	157
211	115	156
212	115	156
213	116	155
214	116	155
215	117	154
216	117	153
217	118	153
218	118	152
219	119	151
220	119	151
221	120	150
222	120	149
223	121	149
224	121	148
225	122	148
226	122	147
227	123	146
228	123	146
229	124	145
230	124	144
231	124	144
232	125	143
233	125	143
234	126	142
235	126	142
236	127	141
237	128	141
238	129	141
239	129	140
240	130	140
241	131	139
242	131	139
243	132	138
244	133	138
245	133	137
246	134	137
247	134	136
248	135	136
249	135	135
250	136	135
251	136	134
252	137	133
253	137	133
254	138	132
255	138	132
256	138	131
257	139	130
258	139	130
259	140	129
260	141	129
261	141	128
262	142	128
263	143	127
264	143	127
265	144	127
266	145	126
267	145	126
268	146	125
269	146	125
270	147	124
271	147	124
272	148	123
273	148	122
274	149	122
275	149	121
276	150	121
277	150	120
278	151	119
279	151	119
280	152	118
281	152	118
282	153	117
283	153	116
284	154	116
285	154	115
286	155	115
287	155	114
288	156	114
289	157	113
290	158	113
291	159	113
292	160	113
293	161	112
294	161	112
295	162	112
296	163	111
297	164	111
298	164	110
299	165	110
300	165	109
301	166	108
302	166	108
303	167	107
304	167	107
305	168	106
306	168	106
307	169	105
308	169	104
309	170	104
310	170	103
311	171	103
312	171	102
313	172	101
314	172	101
315	173	100
316	174	100
317	174	100
318	175	99
319	175	98
320	176	98
321	177	97
322	177	97
323	178	96
324	178	96
325	179	95
326	179	94
327	180	94
328	180	93
329	180	93
330	181	92
331	181	92
332	182	91
333	182	90
334	183	90
335	183	89
336	184	89
337	184	88
338	185	87
339	185	87
340	185	86
341	186	86
342	186	85
343	187	84
344	187	84
345	188	83
346	188	83
347	189	82
348	190	82
349	190	81
350	191	81
351	191	80
352	192	80
353	192	79
354	193	79
355	193	78
356	194	77
357	194	77
358	195	76
359	195	76
360	196	75
361	196	75
362	197	74
363	197	73
364	198	73
365	198	72
366	199	72
367	199	71
368	200	71
369	200	70
370	200	69
371	201	69
372	201	68
373	202	68
374	202	67
375	203	67
376	204	66
377	204	66
378	205	65
379	206	65
380	206	64
381	207	64
382	207	63
383	208	62
384	208	62
385	209	61
386	209	61
387	210	60
388	210	60
389	210	59
390	211	58
391	211	58
392	212	57
393	212	57
394	213	56
395	213	56
396	214	55
397	214	54
398	214	54
399	215	53
400	215	53
401	216	52
402	216	52
403	217	51
404	217	51
405	217	50
406	218	49
407	219	49
408	219	48
409	220	48
410	220	47
411	221	47
412	222	46
413	222	46
414	223	45
415	223	45
416	224	44
417	224	44
418	225	43
419	225	42
420	226	42
421	226	41
422	226	41
423	227	40
424	227	40
425	228	39
426	228	39
427	229	38
428	229	38
429	230	37
430	230	36
431	231	36
432	231	35
433	232	35
434	232	34
435	232	34
436	233	33
437	233	33
438	234	32
439	235	32
440	235	31
441	236	30
442	236	30
443	237	29
444	238	29
445	238	28
446	239	28
447	239	27
448	240	27
449	240	26
450	241	26
451	241	25
452	242	25
453	242	24
454	243	24
455	243	23
456	244	22
457	244	22
458	244	21
459	245	21
460	245	20
461	246	20
462	246	19
463	247	19
464	247	18
465	248	18
466	248	17
467	248	17
468	249	16
469	250	15
470	251	15
471	251	14
472	252	14
473	252	13
474	253	13
475	254	12
476	255	12
477	255	11
478	256	11
479	256	10
480	257	10
481	257	9
482	257	9
483	258	8
484	258	8
485	259	7
486	259	6
487	260	6
488	260	5
489	261	5
490	261	4
491	261	4
492	262	3
493	262	3
494	263	2
495	263	2
496	264	1
497	264	1
498	265	0
499	265	0
