iter	Logloss
0	0.6671374428
1	0.6408437281
2	0.6188753839
3	0.599164818
4	0.5784774957
5	0.560156866
6	0.5442821254
7	0.5255156192
8	0.5102931189
9	0.4966659335
10	0.4824536167
11	0.4669487497
12	0.454427368
13	0.441216483
14	0.4293615035
15	0.4173191843
16	0.4075298307
17	0.3972435457
18	0.3884128973
19	0.3785585287
20	0.3705967174
21	0.3615962702
22	0.3540152676
23	0.3448020207
24	0.3375343639
25	0.3302784339
26	0.3246376063
27	0.3181381852
28	0.3132431181
29	0.3072609248
30	0.3016990154
31	0.2955568928
32	0.2901106911
33	0.2850893336
34	0.2796332308
35	0.2742826667
36	0.2700288095
37	0.2652880806
38	0.2607411668
39	0.2561771956
40	0.2521154655
41	0.2488499988
42	0.2452808927
43	0.2409478333
44	0.237502955
45	0.2339309004
46	0.2309921729
47	0.2276089452
48	0.224734905
49	0.2224171621
50	0.2195671564
51	0.2171511131
52	0.21433758
53	0.2120421236
54	0.2097668557
55	0.2077225817
56	0.2058877274
57	0.2035496622
58	0.2010790217
59	0.1987723966
60	0.1968817333
61	0.1944899329
62	0.1928124965
63	0.1909764172
64	0.1893990018
65	0.1873218763
66	0.1859787101
67	0.1844221568
68	0.182659575
69	0.1811498551
70	0.1794630217
71	0.177373374
72	0.1759248949
73	0.1743763848
74	0.1733124538
75	0.1721230435
76	0.1708283433
77	0.1695643853
78	0.1681558619
79	0.1668376351
80	0.1654326309
81	0.1639663179
82	0.1626100122
83	0.1615435228
84	0.1601787321
85	0.159101257
86	0.1580773904
87	0.1570832791
88	0.1564529347
89	0.1552657845
90	0.1541887393
91	0.1530038099
92	0.1520986905
93	0.1511210677
94	0.1500618265
95	0.1491366196
96	0.148435149
97	0.1477605248
98	0.1468776289
99	0.1459214622
