ID	GSM1329321	GSM1329322	GSM1329323	GSM1329324	GSM1329325	GSM1329326	GSM1329327	GSM1329328	GSM1329329	GSM1329330	GSM1329331	GSM1329332	GSM1329333	GSM1329334	GSM1329335	GSM1329336	GSM1329337	GSM1329338	GSM1329339	GSM1329340	GSM1329341	GSM1329342	GSM1329343	GSM1329344	GSM1329345	GSM1329346	GSM1329347	GSM1329348	GSM1329349	GSM1329350	GSM1329351	GSM1329352	GSM1329353	GSM1329354	GSM1329355	GSM1329356	GSM1329357	GSM1329358	GSM1329359	GSM1329360	GSM1329361	GSM1329362	GSM1329363	GSM1329364	GSM1329365	GSM1329366	GSM1329367	GSM1329368	GSM1329369	GSM1329370	GSM1329371	GSM1329372	GSM1329373	GSM1329374	GSM1329375	GSM1329376	GSM1329377	GSM1329378	GSM1329379	GSM1329380	GSM1329381	GSM1329382	GSM1329383	GSM1329384	GSM1329385	GSM1329386	GSM1329387	GSM1329388	GSM1329389	GSM1329390	GSM1329391	GSM1329392	GSM1329393	GSM1329394	GSM1329395	GSM1329396	GSM1329397	GSM1329398	GSM1329399	GSM1329400	GSM1329401	GSM1329402	GSM1329403	GSM1329404	GSM1329405	GSM1329406	GSM1329407	GSM1329408	GSM1329409	GSM1329410	GSM1329411	GSM1329412	GSM1329413	GSM1329414	GSM1329415	GSM1329416	GSM1329417	GSM1329418	GSM1329419	GSM1329420	GSM1329421	GSM1329422	GSM1329423	GSM1329424	GSM1329425	GSM1329426	GSM1329427	GSM1329428	GSM1329429	GSM1329430	GSM1329431	GSM1329432	GSM1329433	GSM1329434	GSM1329435	GSM1329436	GSM1329437	GSM1329438	GSM1329439	GSM1329440	GSM1329441	GSM1329442	GSM1329443	GSM1329444	GSM1329445	GSM1329446	GSM1329447	GSM1329448	GSM1329449	GSM1329450	GSM1329451	GSM1329452	GSM1329453	GSM1329454	GSM1329455	GSM1329456	GSM1329457	GSM1329458	GSM1329459	GSM1329460
FLJ37035	3.555896	3.658112	3.210073	3.761809	3.115967	3.206071	3.891775	3.518989	3.383735	3.495685	3.257709	3.553251	3.581854	3.328625	4.00466	3.543833	3.927348	3.358652	3.768893	3.770804	3.583957	3.757497	3.54412	3.446223	3.489377	3.607704	3.560616	3.591571	3.430254	3.506461	3.565576	3.426772	3.502841	3.641566	4.023914	3.242325	3.34324	3.478167	3.451749	3.850367	3.676182	3.762162	3.290923	3.753762	3.64497	3.382155	3.339665	3.611614	3.285855	3.728992	3.293087	3.407361	3.877546	3.560833	3.40175	3.289932	3.508253	3.45	3.631912	3.523977	3.795039	3.348542	3.581125	3.670068	3.514084	3.471944	3.465014	3.636055	3.503692	3.719916	3.560094	3.260956	3.393862	3.214063	3.361141	3.481323	3.457632	3.380264	3.407361	3.352932	3.400278	3.580461	3.538134	3.358403	3.642463	3.901821	3.586856	3.844075	3.635896	3.705323	3.625726	3.379764	3.870877	3.33779	3.917563	3.674899	3.548846	3.308679	3.432867	3.529343	3.406601	3.792691	3.298567	3.242716	3.406349	3.504584	3.515482	3.634792	3.53617	3.485842	3.32262	3.622046	3.338528	3.3084	3.225138	3.664141	3.336215	3.335533	3.471761	3.27273	3.490369	3.175024	3.31604	3.638135	3.463892	3.79353	3.286542	3.559085	3.663104	3.377618	3.789508	3.687571	3.709997	3.490085	3.886207	3.576887	3.526251	3.81305	3.475177	3.539256
LOC101929591	2.994486	3.572021	3.210258	3.267886	3.322298	3.10043	3.230843	2.885533	3.061894	3.049079	3.260186	3.210384	3.341901	3.875145	3.557669	3.695968	3.781849	3.196781	3.607515	3.68787	3.216442	3.113976	3.213213	3.297338	3.198764	3.093085	3.025699	3.330613	3.042256	3.073373	3.2578	2.926755	3.147246	3.028845	3.200979	3.191313	3.089422	3.427083	3.011392	2.939176	3.801747	4.017712	3.372952	3.011392	3.376286	3.061172	3.29172	3.312561	3.262551	3.208578	3.218286	3.343249	3.190922	3.056211	3.117731	2.949743	3.1984	3.072264	3.109114	3.253273	3.227774	3.218286	3.261723	3.275809	3.770262	3.490079	3.277921	2.98564	3.12532	3.101124	2.988928	3.155376	3.16048	2.986271	3.022275	3.18591	3.217602	3.030478	3.128365	3.175092	3.251791	3.196271	3.189458	3.001903	3.374631	3.600911	3.285378	3.483254	3.567312	3.459846	3.38111	3.39201	3.158739	3.315334	3.471277	3.634656	3.213475	3.186153	3.287677	3.167963	3.111902	3.105884	2.88961	3.057951	3.066236	3.009794	3.255726	3.065025	3.076696	3.287334	3.446361	3.166837	3.226984	3.459402	3.375138	3.246696	2.984993	3.333769	3.188195	3.270624	3.248189	3.238235	3.288693	3.214321	3.185935	3.466176	3.269075	3.330775	3.114766	3.0721	3.334584	3.608608	3.343462	3.152455	3.143903	3.369633	3.547388	3.648239	3.194791	3.20379
ZNF90	3.568215	3.034414	3.210969	3.24503	3.460868	3.483079	3.421541	3.644007	3.333894	3.531065	3.554507	3.37501	3.342531	3.388656	3.422104	3.714947	3.440689	3.274241	3.452808	3.502274	3.310278	3.451889	3.353593	3.29252	3.561475	3.488445	3.591717	3.405722	3.141203	3.496756	3.575783	3.37525	3.341357	3.280022	3.5505	3.305219	3.386577	3.494982	3.051304	3.207868	3.308005	3.414727	3.12674	3.366099	3.361441	3.196236	3.246881	3.392946	3.284444	3.338091	3.665416	3.588803	3.54446	3.524469	3.36435	3.315562	3.216901	3.329744	3.403758	3.204116	3.492128	3.520208	3.317188	3.440689	3.305214	3.122659	3.163361	3.269299	3.504885	3.303688	3.40944	3.233602	3.458326	3.280604	3.257903	3.716556	3.312886	3.417483	3.385993	3.458326	3.538748	3.188735	3.278612	3.328727	3.175426	3.199588	3.342826	3.364191	3.338232	3.095547	3.432786	3.30031	3.467331	3.189781	3.222016	3.165475	3.241004	3.505193	3.276578	3.289544	3.624673	3.685946	3.410865	3.4721	3.380311	3.409962	3.590576	3.081114	3.364576	3.236351	3.524913	3.457254	3.35891	3.236632	3.404434	3.187661	3.512794	3.418824	3.208796	3.46683	3.386646	3.228208	3.37067	3.214472	3.177396	3.275017	3.374098	3.230509	3.402047	3.367568	3.266777	3.409496	3.479263	3.621403	3.509093	3.369261	3.405878	3.530827	3.652771	3.45517
WASIR1 /// WASIR1 /// WASIR2 /// WASIR2	3.417553	3.101744	3.210989	3.598881	3.147343	3.286675	3.263983	3.449369	3.669652	3.135853	3.249049	4.400389	3.200774	3.148983	3.164884	3.591895	3.751786	3.418415	3.305024	3.467112	3.37292	2.919311	3.299829	3.246406	2.951732	3.970258	3.806722	3.418319	3.301711	3.344337	3.496069	3.423265	3.115894	3.461525	3.225541	3.759803	3.482477	3.069599	3.005009	3.232426	3.239083	3.2023	3.198463	3.450351	3.016461	3.139577	2.959105	3.246653	3.162942	3.391014	3.39887	3.361531	3.461864	3.171591	3.149713	3.465283	3.465849	3.234149	3.201853	3.138774	3.421818	3.071065	3.192999	3.625119	3.136984	3.410229	3.290284	3.170505	3.230329	3.53343	3.320424	3.327724	3.582234	3.433229	3.269766	3.533389	3.364367	3.256877	3.317639	3.326838	3.063119	3.240807	3.260727	3.082449	3.390671	3.147096	3.215189	3.328098	3.212087	3.448454	3.30428	3.183824	3.011536	3.345858	3.106718	3.214716	2.972481	3.120208	3.111031	3.087042	3.379595	3.125281	3.452384	3.229036	3.358609	3.421372	3.237126	3.239327	3.228569	3.0677	3.131349	3.290154	3.109248	3.172953	3.316074	3.140411	3.325858	3.471231	3.23506	3.255506	4.31116	3.360116	3.31444	3.111616	3.11703	3.342095	3.023678	3.230529	4.491736	3.330343	3.184343	3.418169	3.196256	3.105243	3.289988	3.58735	3.380668	3.225374	3.251271	3.22215
CTD-2021H9.3	3.20119	3.180685	3.211877	3.496367	3.320144	3.453063	3.276488	3.905611	3.221013	3.774972	3.371687	3.507536	3.400071	3.410894	3.463107	3.614621	3.345772	3.147734	3.430678	3.470567	3.37292	3.406492	3.096786	3.274158	3.194174	3.642589	3.704069	3.734424	3.716444	3.546868	3.903504	3.546281	3.614621	3.657619	3.538282	3.931235	3.797909	3.305666	3.226316	3.514782	3.285892	3.687376	3.445859	3.512141	3.621443	3.231182	3.669215	3.786281	3.564909	3.509717	3.547034	3.631079	3.730405	3.444846	3.510231	3.867025	3.542579	3.581036	3.870176	3.600595	3.577525	3.677681	3.657742	3.659085	3.185994	3.188875	3.536806	3.335675	3.380037	3.611529	3.502787	3.513284	3.467138	3.433953	3.675233	3.799589	3.636311	3.574555	3.739933	3.507194	3.609172	3.513693	3.678989	3.418408	3.358426	3.75371	3.558289	3.207682	3.699599	3.568361	3.702211	3.84105	3.240081	3.368721	3.689745	3.103611	3.377076	3.320144	3.22523	3.23643	3.702661	3.57428	3.497856	3.691693	3.589737	3.51916	3.607398	3.522271	3.530684	3.206522	3.292134	3.265701	3.747346	3.414569	3.366363	3.377521	3.582675	3.58891	3.705488	3.452247	3.647367	3.399689	3.500692	3.703439	3.297281	3.364058	3.456482	3.590809	3.687358	3.357152	3.492295	3.553588	3.566405	3.503195	3.462489	3.512573	3.647424	4.056231	3.519232	3.673546
CTD-2287O16.5	3.148097	2.872756	3.211931	3.488756	3.399009	3.321608	3.182043	3.196316	3.028974	3.34764	3.3467	2.986501	3.356447	3.220013	3.107085	3.395218	3.459708	3.526079	3.135111	3.143777	3.392059	3.292805	3.260365	3.324683	3.49305	3.291207	3.288932	3.163111	3.115958	3.224319	3.236539	3.255835	3.350681	3.279138	3.069651	3.102045	2.963934	3.347305	2.956738	2.961362	2.977349	3.439602	2.960642	3.548511	3.39639	3.143215	3.490729	3.209457	3.256659	3.283163	3.171375	3.008444	2.994189	3.169742	3.190343	3.232713	3.060241	3.039134	3.147705	3.213974	3.332762	3.239543	3.489095	3.42743	3.480455	2.999728	3.543101	3.489902	3.447866	3.142675	3.176898	2.904361	3.004399	3.340655	3.210408	3.113042	3.043915	3.007236	3.206506	3.524204	3.473081	3.167298	3.68186	3.172261	3.334181	3.382649	2.989608	3.074865	3.233817	2.917562	3.64983	3.353196	3.141049	3.022715	3.246253	3.258924	3.04091	3.305853	3.280863	3.38959	3.337775	3.566422	3.266568	3.303312	3.272284	3.164265	3.226709	3.234022	3.381671	3.205614	3.570436	3.329061	3.204639	3.528802	3.246033	3.294336	3.224843	3.211105	3.519722	3.508117	3.13008	2.903322	3.126213	3.115714	3.065786	3.44258	3.075424	3.275885	3.030722	3.299645	3.271837	3.228548	3.142342	3.209816	3.05912	3.087364	3.26901	3.087595	3.195382	3.218234
RP11-255P5.2	3.325454	3.385925	3.212014	3.140815	3.112944	3.291189	3.166318	3.249887	3.010417	3.290992	3.243318	3.303773	2.985353	3.505189	3.317194	3.024443	3.376725	3.531754	3.200407	3.403075	3.409816	3.585977	3.197749	3.330785	3.168156	2.872543	3.153805	3.685469	3.482597	3.28883	3.210041	3.541153	3.180482	3.399053	3.280229	3.238166	3.124781	3.235321	3.065243	3.494792	3.369568	3.570361	3.410401	3.490909	3.560139	3.557588	3.214565	3.338682	3.309866	3.517653	3.45036	3.164837	3.357888	3.191779	3.264961	3.341018	3.536355	3.194283	3.309349	3.462684	3.571242	3.371997	3.647025	3.227013	3.241334	3.23256	3.58669	3.341889	3.306712	3.47611	3.240065	3.238808	3.292076	3.425779	3.110735	3.408225	3.486113	3.364434	3.324699	3.42295	3.535079	3.734072	3.264844	3.502532	3.67904	3.627506	3.448492	3.405696	3.406307	3.673089	3.343424	3.479007	3.474401	3.097794	3.767225	3.529507	3.256433	3.31933	3.29194	3.164247	3.333038	3.833181	3.442943	3.140819	3.210041	3.331289	3.303214	3.31739	3.570731	3.328837	3.474877	3.383354	3.586291	3.502389	3.582701	3.624607	3.228359	3.317834	3.259518	3.319959	3.243846	3.477874	3.429498	3.556952	3.445839	3.370425	3.354155	3.314908	3.16915	3.42753	3.788179	3.534448	3.793538	3.432951	3.624196	3.582771	3.654327	3.534724	3.852238	3.551857
BC043266 /// RP4-568F9.6	3.540087	3.031782	3.212303	3.967673	4.177238	3.328683	3.269532	3.44583	3.449567	3.484268	3.429514	3.972413	3.539671	4.044821	3.926254	3.790527	3.735339	3.952354	4.34235	3.926247	4.044264	3.226584	3.58074	3.570588	3.401975	3.660581	4.021642	3.377156	3.900372	3.462551	3.552729	3.628715	3.482358	3.449026	3.969227	3.670064	3.437689	3.352786	3.336722	3.382964	3.813799	4.04698	3.70549	3.377156	3.577842	3.315752	3.56315	3.684506	3.47154	3.290273	3.459328	3.506533	3.407617	3.42832	3.360851	3.634875	3.564515	3.393606	3.215949	3.363883	3.667549	3.489347	3.827992	3.912928	3.532906	3.564881	3.567937	3.575935	3.648695	3.384671	3.336866	3.102676	3.420685	3.259858	3.555369	3.552384	3.381641	3.432631	3.633459	3.624443	3.537442	3.615623	3.632581	3.423697	3.486631	3.93714	3.733521	3.809225	3.842111	3.863046	3.552382	4.096622	3.642755	3.762069	3.466435	3.343871	3.460947	3.278692	3.560228	3.487387	3.714636	3.635123	3.737798	3.413611	3.598746	3.460971	3.603157	3.553439	3.530084	3.601434	3.531852	3.379164	3.549521	3.653443	3.3904	3.432548	3.629992	3.595912	3.443206	3.741481	3.389276	3.218626	3.682931	3.573709	3.31937	3.522487	3.514995	3.535962	4.46764	3.288949	3.518384	3.769009	3.479331	3.468397	3.884707	3.806991	3.597903	3.755778	3.498607	3.762069
TMEM107	3.297515	3.217523	3.212601	3.431567	3.221285	3.475749	3.539773	3.574791	3.292979	3.340343	3.473385	3.131222	3.462551	3.280087	3.501261	3.196527	3.38549	3.319412	3.47142	3.209884	3.294441	3.344644	2.895227	3.413383	3.469373	3.464484	3.400755	2.995254	3.188146	2.986774	3.201945	3.408267	3.100336	3.489582	3.14033	3.321772	3.223951	3.466304	3.3249	3.452415	3.270154	3.28362	3.383887	3.433191	3.565053	3.228806	3.338124	3.444539	3.406548	3.298713	3.620263	3.478741	3.129296	3.285732	3.460662	3.259612	3.654742	3.380006	3.674309	3.31195	3.658251	3.515217	3.587239	3.671801	3.222095	3.348917	3.495407	3.261554	3.603206	3.380973	3.499859	3.552491	3.384124	3.295054	3.417822	3.449574	3.680496	4.22023	3.486402	3.205729	3.294208	3.404862	3.724152	3.331817	3.607356	3.419676	3.04448	3.457513	3.744562	3.424807	3.707784	3.408724	3.0316	3.538138	3.678281	3.353767	3.007903	3.70525	3.37819	3.483567	3.488384	3.103383	3.212666	3.349199	3.345308	3.526236	3.258986	3.451327	3.460615	3.563571	3.647364	4.90882	4.056559	4.389118	3.754954	3.539313	3.439956	3.238083	3.556944	3.093501	3.46547	3.602701	3.321772	3.512622	3.528299	3.398991	3.351649	3.358333	3.378659	3.168902	3.637967	3.526362	3.663379	3.460029	3.784251	3.463194	3.252989	3.606929	4.757163	3.643641
TMEM35	3.430109	3.308002	3.213672	3.34025	3.294195	3.364894	3.523537	3.324962	3.196862	3.322555	3.211951	3.625883	3.462551	3.486777	3.390495	3.507745	3.387756	3.117172	3.460042	3.150441	3.446048	3.255482	3.240319	2.993297	3.283093	3.307266	3.439419	3.415375	3.480835	3.350913	3.130832	3.348544	3.293875	3.282399	3.416593	3.343861	3.190032	3.173601	3.347632	3.399369	3.029603	3.257658	3.292963	3.033425	3.075955	3.131374	3.229216	3.53886	3.453725	3.276161	3.33204	3.216785	3.267318	3.325102	3.376917	3.185796	3.265897	3.301262	3.239684	3.324321	3.642015	3.316009	3.15583	3.18546	3.270265	3.008343	3.47722	3.37715	3.271396	3.308661	3.22565	3.20743	3.193704	3.509097	3.387434	3.403132	3.638002	3.142944	3.170346	3.43202	3.25269	3.475636	3.468134	3.24126	3.511219	3.466301	3.317703	3.086959	3.968448	3.406279	3.232772	3.413121	3.64294	3.169329	3.142727	3.365412	3.460947	3.043545	3.070419	3.320353	3.566334	3.301521	3.60249	3.284225	3.075646	3.465908	3.532797	3.243048	3.107309	3.095005	3.319663	3.102317	3.296516	3.464266	3.240301	3.163169	3.105057	3.322162	3.131954	3.226714	3.376068	3.008398	3.074483	3.267783	3.139632	3.151623	3.370144	3.338902	3.319677	3.235878	3.147244	3.1769	3.254919	2.994703	3.357431	3.475655	3.278651	3.385884	3.209336	3.339324
