model,threshold,roc_auc,pr_auc,accuracy,sensitivity_recall,specificity,precision,f1,balanced_accuracy,mcc,brier_score,tp,tn,fp,fn,positive_count,negative_count
Paper ANN,0.885739156839833,0.935972191074232,0.885609925788497,0.878571428571429,1,0.813186813186813,0.742424242424242,0.852173913043478,0.906593406593407,0.777000388500291,0.270913773020225,49,74,17,0,49,91
XGBoost,0.9551882147789,0.959407938999776,0.949197216325835,0.942857142857143,0.857142857142857,0.989010989010989,0.976744186046512,0.91304347826087,0.923076923076923,0.874878963651629,0.305341839790344,42,90,1,7,49,91
LightGBM,0.946781200580509,0.925543843911191,0.883830595085019,0.921428571428571,0.857142857142857,0.956043956043956,0.91304347826087,0.884210526315789,0.906593406593407,0.825783537966322,0.310161237275944,42,87,4,7,49,91
CatBoost,0.920899134739996,0.953577035209688,0.936688173776592,0.921428571428571,0.857142857142857,0.956043956043956,0.91304347826087,0.884210526315789,0.906593406593407,0.825783537966322,0.28828010186992,42,87,4,7,49,91
Ensemble,0.940956183366468,0.950885848845033,0.937343508324305,0.935714285714286,0.857142857142857,0.978021978021978,0.954545454545455,0.903225806451613,0.917582417582418,0.858082374428797,0.299741206727465,42,89,2,7,49,91
