model,threshold,roc_auc,pr_auc,accuracy,sensitivity_recall,specificity,precision,f1,balanced_accuracy,mcc,brier_score,tp,tn,fp,fn,positive_count,negative_count
Paper ANN,0.5,0.935972191074232,0.885609925788497,0.55,1,0.307692307692308,0.4375,0.608695652173913,0.653846153846154,0.366899692852671,0.270913773020225,49,28,63,0,49,91
XGBoost,0.5,0.959407938999776,0.949197216325835,0.542857142857143,1,0.296703296703297,0.433628318584071,0.604938271604938,0.648351648351648,0.35869060716417,0.305341839790344,49,27,64,0,49,91
LightGBM,0.5,0.925543843911191,0.883830595085019,0.557142857142857,1,0.318681318681319,0.441441441441441,0.6125,0.659340659340659,0.375072180625464,0.310161237275944,49,29,62,0,49,91
CatBoost,0.5,0.953577035209688,0.936688173776592,0.521428571428571,1,0.263736263736264,0.422413793103448,0.593939393939394,0.631868131868132,0.333775127209573,0.28828010186992,49,24,67,0,49,91
Ensemble,0.5,0.950885848845033,0.937343508324305,0.528571428571429,1,0.274725274725275,0.426086956521739,0.597560975609756,0.637362637362637,0.34213572772701,0.299741206727465,49,25,66,0,49,91
