model,features,feature_type,train_auc,validation_auc,validation_accuracy,validation_sensitivity,validation_specificity,validation_precision,validation_f1
Paper ANN,"HHIP, CXCL14, CDHR2",binary GeneScore,0.9413127413127413,0.9359721910742319,0.55,1.0,0.3076923076923077,0.4375,0.6086956521739131
XGBoost,"HHIP, CXCL14, CDHR2",continuous expression,0.9503861003861004,0.9594079389997757,0.5428571428571428,1.0,0.2967032967032967,0.4336283185840708,0.6049382716049383
LightGBM,"HHIP, CXCL14, CDHR2",continuous expression,0.9544401544401544,0.9255438439111908,0.5571428571428572,1.0,0.31868131868131866,0.44144144144144143,0.6125
CatBoost,"HHIP, CXCL14, CDHR2",continuous expression,0.9648648648648649,0.9535770352096883,0.5214285714285715,1.0,0.26373626373626374,0.4224137931034483,0.593939393939394
Ensemble,"HHIP, CXCL14, CDHR2",continuous expression,0.9540540540540541,0.9508858488450326,0.5285714285714286,1.0,0.27472527472527475,0.4260869565217391,0.5975609756097561
