model,auc,accuracy,sensitivity,specificity,precision,f1,threshold
Paper ANN,0.9407938999775735,0.35,1.0,0.0,0.35,0.5185185185185185,0.5
XGBoost,0.9597443372953577,0.4785714285714286,1.0,0.1978021978021978,0.4016393442622951,0.5730994152046783,0.5
LightGBM,0.9753307916573222,0.5785714285714286,1.0,0.3516483516483517,0.4537037037037037,0.6242038216560509,0.5
CatBoost,0.9819466248037676,0.4142857142857143,1.0,0.0989010989010989,0.37404580152671757,0.5444444444444444,0.5
Ensemble,0.9743215967705763,0.5714285714285714,1.0,0.34065934065934067,0.44954128440366975,0.620253164556962,0.5
